project-id,location-id,date,time-intervals,direction-id,car,microbus,bus,truck,special vehicle,motorcycle,bicycle,total-vehicles,location-name,longitude,latitude,image-url
Tamarashvili,Loc1,2/27/24,09:00 - 09:15,1.1,63,1,0,0,0,0,0,64,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:00 - 09:15,1.2,240,5,7,1,0,1,0,254,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:00 - 09:15,1.3,473,15,8,4,0,3,0,503,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:00 - 09:15,1.4,128,2,2,1,0,0,0,133,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:00 - 09:15,1.5,223,4,4,1,0,1,0,233,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:00 - 09:15,1.6,133,2,6,1,0,1,0,143,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:15 - 09:30,1.1,50,1,1,0,0,0,0,52,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:15 - 09:30,1.2,235,6,4,1,0,2,0,248,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:15 - 09:30,1.3,432,17,5,3,0,1,0,458,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:15 - 09:30,1.4,121,2,2,0,0,1,0,126,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:15 - 09:30,1.5,186,7,3,4,0,2,0,202,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:15 - 09:30,1.6,109,4,5,2,0,1,0,121,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,Loc1,2/27/24,09:30 - 09:45,1.1,50,1,1,0,0,0,0,52,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
