Project ID,Date,Time Interval,Direction ID,Car,Microbus,Bus,Truck,Special vehicular,Motorcycle,Bicycle,Total Vehicles,ID,Name,LONG,LAT,URL
Tamarashvili,2/27/24,09:00 - 10:00,1.1,224,5,3,0,0,0,0,232,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,1.2,1027,18,24,5,0,9,0,1083,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,1.3,1825,53,29,14,0,10,0,1931,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,1.4,537,14,7,1,0,3,0,562,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,1.5,811,28,11,7,0,7,0,864,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,1.6,479,13,23,3,0,6,0,524,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,1.1,222,5,2,2,0,7,0,238,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,1.2,907,14,23,3,0,58,0,1005,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,1.3,1621,40,25,15,0,103,4,1808,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,1.4,421,8,6,0,0,15,0,450,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,1.5,874,13,11,2,0,36,1,937,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,1.6,416,4,22,1,0,27,1,471,Loc1,Location 1,44.7454186,41.7241914,https://drive.google.com/file/d/1YxZGx1CoMzSzG4asy4R2yiPAmlFIbc3u/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,2.1,101,2,0,1,0,2,0,106,Loc2,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,2.2,76,0,0,0,0,5,0,81,Loc2,Location 2,44.7455732,41.7233162,https://drive.google.com/file/d/1dkI82KmlFFyTxBdmBj89m7sx1lyT8PEt/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.1,85,6,0,0,0,0,0,91,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.2,1480,28,33,9,0,17,0,1567,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.3,114,1,0,1,0,1,0,117,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.4,118,1,0,0,0,1,0,120,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.5,224,3,0,1,0,1,0,229,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.6,0,0,0,0,0,0,0,0,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.7,0,0,0,0,0,0,0,0,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,3.8,0,0,0,0,0,0,0,0,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.1,119,1,0,0,0,11,0,131,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.2,1220,14,28,4,2,77,1,1346,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.3,91,0,0,0,0,19,0,110,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.4,0,0,0,0,0,0,0,0,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.5,0,0,0,0,0,0,0,0,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.6,170,2,0,0,1,11,0,184,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.7,1004,11,21,5,1,34,0,1076,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,3.8,315,3,0,1,0,21,0,340,Loc3,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.1,1000,21,24,11,0,7,0,1063,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.2,914,17,1,6,0,2,0,940,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.3,110,3,0,3,0,3,0,119,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.4,1851,44,7,27,3,19,0,1951,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.5,502,25,3,5,0,9,0,544,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.6,12,0,0,0,0,0,0,12,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,4.7,66,2,28,0,0,0,2,98,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,4.1,870,12,22,3,0,59,3,969,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,4.2,683,8,0,9,0,22,0,722,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,4.3,100,2,0,1,0,4,0,107,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,4.4,1737,34,3,7,0,92,2,1875,Loc4,Location 4,44.7479504,41.7134962,https://drive.google.com/file/d/1z1iL2V1-u1wqye4sanGJwY463iSQ5_-B/view?usp=drive_link
